#Incident Continuum, Enr	nFn 
7.74744e-04	6.782e-07
7.78627e-04	6.886e-07
7.82529e-04	6.991e-07
7.86451e-04	7.098e-07
7.90392e-04	7.173e-07
7.94353e-04	7.194e-07
7.98334e-04	7.214e-07
8.02335e-04	7.234e-07
8.06356e-04	7.255e-07
8.10397e-04	7.276e-07
8.14459e-04	7.297e-07
8.18540e-04	7.318e-07
8.22642e-04	7.339e-07
8.26765e-04	7.360e-07
8.30908e-04	7.382e-07
8.35073e-04	7.404e-07
8.39258e-04	7.425e-07
8.43464e-04	7.447e-07
8.47691e-04	7.469e-07
8.51939e-04	7.491e-07
8.56208e-04	7.514e-07
8.60499e-04	7.536e-07
8.64812e-04	7.558e-07
8.69146e-04	7.581e-07
8.73502e-04	7.604e-07
8.77879e-04	7.627e-07
8.82279e-04	7.650e-07
8.86700e-04	7.673e-07
8.91144e-04	7.697e-07
8.95610e-04	7.720e-07
9.00099e-04	7.744e-07
9.04610e-04	7.767e-07
9.09143e-04	7.791e-07
9.13699e-04	7.814e-07
9.18278e-04	7.838e-07
9.22880e-04	7.862e-07
9.27505e-04	7.885e-07
9.32154e-04	7.909e-07
9.36825e-04	7.933e-07
9.41520e-04	7.957e-07
9.46239e-04	7.981e-07
9.50981e-04	8.005e-07
9.55747e-04	8.029e-07
9.60536e-04	8.054e-07
9.65350e-04	8.078e-07
9.70188e-04	8.102e-07
9.75050e-04	8.127e-07
9.79937e-04	8.151e-07
9.84848e-04	8.176e-07
9.89783e-04	8.201e-07
9.94744e-04	8.225e-07
9.99729e-04	8.250e-07
1.00474e-03	8.275e-07
1.00977e-03	8.300e-07
1.01484e-03	8.326e-07
1.01992e-03	8.351e-07
1.02503e-03	8.376e-07
1.03017e-03	8.402e-07
1.03533e-03	8.427e-07
1.04052e-03	8.453e-07
1.04574e-03	8.479e-07
1.05098e-03	8.505e-07
1.05624e-03	8.530e-07
1.06154e-03	8.556e-07
1.06686e-03	8.582e-07
1.07220e-03	8.608e-07
1.07758e-03	8.634e-07
1.08298e-03	8.661e-07
1.08840e-03	8.687e-07
1.09386e-03	8.713e-07
1.09934e-03	8.740e-07
1.10485e-03	8.766e-07
1.11039e-03	8.793e-07
1.11595e-03	8.819e-07
1.12154e-03	8.846e-07
1.12717e-03	8.873e-07
1.13281e-03	8.900e-07
1.13849e-03	8.927e-07
1.14420e-03	8.954e-07
1.14993e-03	8.981e-07
1.15569e-03	9.009e-07
1.16149e-03	9.036e-07
1.16731e-03	9.063e-07
1.17316e-03	9.091e-07
1.17904e-03	9.118e-07
1.18495e-03	9.146e-07
1.19088e-03	9.174e-07
1.19685e-03	9.202e-07
1.20285e-03	9.230e-07
1.20888e-03	9.258e-07
1.21494e-03	9.286e-07
1.22103e-03	9.314e-07
1.22714e-03	9.343e-07
1.23329e-03	9.371e-07
1.23947e-03	9.400e-07
1.24569e-03	9.428e-07
1.25193e-03	9.457e-07
1.25820e-03	9.486e-07
1.26451e-03	9.515e-07
1.27085e-03	9.544e-07
1.27722e-03	9.573e-07
1.28362e-03	9.602e-07
1.29005e-03	9.631e-07
1.29651e-03	9.660e-07
1.30301e-03	9.689e-07
1.30954e-03	9.719e-07
1.31610e-03	9.748e-07
